Produkt,Cena,Nazwa alejki,Numer alejki,Półka,Kategoria produktu
Hortensja zielona,"16,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Storczyk biały,"19,99 zł/gałązka",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Storczyk różowy,"19,49 zł/gałązka",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Storczyk fioletowy,"20,99 zł/gałązka",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Storczyk żółty,"19,79 zł/gałązka",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Storczyk wielokolorowy,"21,99 zł/gałązka",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Amarylis czerwony,"14,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Amarylis biały,"15,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Amarylis różowy,"15,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Amarylis bordowy,"15,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Amarylis dwukolorowy,"16,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Jaskier biały,"4,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Jaskier żółty,"4,79 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Jaskier różowy,"5,29 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Jaskier pomarańczowy,"4,89 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Jaskier czerwony,"5,49 zł/szt",STREFA WEJŚCIOWA,1,Półka 1, Kwiaty cięte
Monstera Acuminata P13,"38,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Zamioculcas Raven P10,"40,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Zielistek biały pasek w środku P16,"21,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Zamioculcas Zamifolia Zamicro P14,"68,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Zamioculcas Zamifolia Zamicro P12,"52,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Tillandsia Lonantha Rood P10,"29,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Tillandsia Xerographica P8,"48,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Skrytowkiat Cryptanthus P6,"13,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Sansevieria Royal Fan P17,"112,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Sansevieria Masoniana P8,"34,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Sansevieria Cylindrica Boncel P14,"90,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Sansevieria Spearmint P14,"62,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Sansevieria Golden Hahnii P9,"29,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Saintpaulia P6 biały,"13,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Pteris Albolineata P7,"22,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Mcdoweel P10,"58,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Pilea Cadierei P8,"12,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Peperomia Papperspot P14,"62,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Monstera Obliqua Peru P12,"114,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
"Epipremnum N'Joy P5,5","12,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Hoya Kerri Variegata zielona P6,"16,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Croton Excellent P17,"58,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
"Lithops Żywykamień P5,5","9,50 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Epipremnum Marble Variegata P12,"54,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Croton Excellent P12,"26,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Araucaria P17,"62,50 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Grizzly P17,"71,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Epiphyllum Leon Herick P14 różowy,"89,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Gloriosum Dark P6,"26,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Gloriosum P6,"24,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Campii P10,"14,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Mulenbekia Pink Camouflage P11,"12,50 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Mulenbekia P12,"9,50 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Narrow P10,"12,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Philodendron Hope P10,"14,00 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Syngonium Pixie P9,"10,50 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Fikus Retuza,"29,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Kwiaty zielone w złoto-srebrnej doniczce,"19,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Kalanchoe Queen,"18,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Kwiaty zielone filtrujące powietrze,"12,99 zł/szt",STREFA WEJŚCIOWA,1,Półka 2, Rośliny doniczkowe
Chleb grodzki (400g),3.99,Piekarnia,2,Półka 1, Chleby
Chleb polski (500g),2.19,Piekarnia,2,Półka 1, Chleby
Chleb fitness (450g),4.49,Piekarnia,2,Półka 1, Chleby
Chleb tostowy krojony (500g),3.99,Piekarnia,2,Półka 1, Chleby
Chleb wieloziarnisty (405g),4.99,Piekarnia,2,Półka 1, Chleby
Chleb pszenny zwykły (500g),2.69,Piekarnia,2,Półka 1, Chleby
Chleb żytni razowy (500g),3.59,Piekarnia,2,Półka 1, Chleby
Chleb graham (400g),3.89,Piekarnia,2,Półka 1, Chleby
Kajzerka pszenna,0.37,Piekarnia,2,Półka 2, Bułki
Kajzerka wieloziarnista,0.49,Piekarnia,2,Półka 2, Bułki
Bułka śniadaniowa,0.69,Piekarnia,2,Półka 2, Bułki
Bułka ziemniaczana,0.89,Piekarnia,2,Półka 2, Bułki
Bułka grahamka,0.59,Piekarnia,2,Półka 2, Bułki
Bułka poznańska,0.79,Piekarnia,2,Półka 2, Bułki
Bułka wrocławska,0.85,Piekarnia,2,Półka 2, Bułki
Bułka paluch pszenny,0.59,Piekarnia,2,Półka 2, Bułki
Ciabatta,2.99,Piekarnia,2,Półka 3, Pieczywo specjalne
Bagietka klasyczna,2.49,Piekarnia,2,Półka 3, Pieczywo specjalne
Bagietka czosnkowa,2.99,Piekarnia,2,Półka 3, Pieczywo specjalne
Paluszek śniadaniowy,0.69,Piekarnia,2,Półka 3, Pieczywo specjalne
Rogal maślany,1.99,Piekarnia,2,Półka 3, Pieczywo specjalne
Rogal z makiem,2.29,Piekarnia,2,Półka 3, Pieczywo specjalne
Chałka,3.99,Piekarnia,2,Półka 3, Pieczywo specjalne
Precel,1.89,Piekarnia,2,Półka 3, Pieczywo specjalne
Malinowa chmurka,"84,00 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Murzynek,"44,00 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Piegus,"56,70 zł/blacha",Piekarnia,2,Półka 4, Ciasta
3-BIT,"55,20 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Bananowiec,"55,00 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Cappucino,"54,43 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto ananasowo-kokosowe,"50,40 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto cytrynowo-śmietankowe,"48,00 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto jogurtowe,"35,10 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto orzechowe,"60,00 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto z galaretką,"57,50 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto ze słonecznikiem,"51,70 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Drożdżowe,"24,30 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Fale Dunaju,"53,90 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Jabłecznik na kruchym,"45,54 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Jabłecznik z budyniem,"54,20 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Kruche z owocami,"37,80 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Kubanka,"50,60 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Mako-kokos,"45,90 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Mako-ser,"67,50 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Makowiec na kruchym,"61,60 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Pychotka,"57,92 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Rafaello,"52,50 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Rodzynkowiec,"62,10 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Sernik bez sera,"50,60 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Sernik gotowany,"58,78 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Sernik z brzoskwiniami,"56,10 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Sernik z rosą,"57,24 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Smakosz,"64,40 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Snickers,"58,25 zł/blacha",Piekarnia,2,Półka 4, Ciasta
W-Z,"52,20 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Ciasto z kajmakiem,"52,80 zł/blacha",Piekarnia,2,Półka 4, Ciasta
Szarlotka,"44,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Babka drożdżowa,"46,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Babka piaskowa,"48,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Brownie,"65,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Ciasto marchewkowe,"46,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Ciasto jagodowe z bezą,"60,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Kakaowiec,"52,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Miodownik,"54,00 zł/kg",Piekarnia,2,Półka 4, Ciasta
Rurka ze śmietaną,"3,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Rurka z kremem,"3,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Babeczka owocowa,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Babeczka z kajmakiem,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Babeczka kopiec kreta,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Eklerka,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Muffina,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Pączek z różą,"7,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Pączki z adwokatem,"7,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Makaroniki migdałowe,"5,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Arachid z kawą,"15,80 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Arlekin,"8,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Cannoli,"9,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Dacquoise,"15,00 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Drożdżówka,"6,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Kremówka,"8,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Kruche serce,"7,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Monoporcja,"14,70 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Opera,"15,80 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Tiramisu,"8,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Tarta cytrynowa,"9,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Wuzetka,"8,50 zł/szt",Piekarnia,2,Półka 4, Wyroby cukiernicze
Rogaliki z marmoladą,"40,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Kokosanki,"65,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Kruche ciasteczka czekoladowe,"55,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Ciasteczka z krówkami,"40,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Baletki,"40,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Chrust,"110,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Eklery,"52,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Grylażowe,"66,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Ciasteczka kajmakowe,"40,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Krążki alpejskie,"55,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Makaroniki z różą,"54,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Marcepanki,"54,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Nugat,"52,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Orzeszki,"65,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Palermo,"55,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Pischinger,"55,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Ptysie,"52,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Ziemniaczki,"46,00 zł/kg",Piekarnia,2,Półka 4, Wyroby cukiernicze
Marchew,"3,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew młoda z nacią,"4,50 zł/pęczek",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka korzeń,"6,00 zł/kg1",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka młoda z nacią,"5,50 zł/pęczek1",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler korzeniowy,"3,75 zł/kg5",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler młody z nacią,"3,50 zł/szt1",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak ćwikłowy,"2,50 zł/kg1",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak młody z nacią,"2,50 zł/pęczek1",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Chrzan świeży,"15,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew biała,"4,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew czarna,"5,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzepa biała,"3,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzepa czarna,"3,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Skorzonera,"8,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pasternak,"5,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Topinambur,"6,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Salsefia,"7,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew kolorowa,"5,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew baby,"6,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Buraki chioggia,"7,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Buraki żółte,"6,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Buraki białe,"6,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew daikon,"8,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Rzodkiew czerwona,"4,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Marchew czarna,"7,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka korzeniowa długa,"7,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Pietruszka korzeniowa krótka,"6,50 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler korzeniowy mały,"3,20 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Seler korzeniowy duży,"4,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak ćwikłowy mały,"2,30 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Burak ćwikłowy duży,"2,80 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
Chrzan tarty,"25,00 zł/kg",Owoce i Warzywa,3,Półka 1, Warzywa korzeniowe
